,longitude,latitude,housing_median_age,median_house_value,ocean_proximity,rooms_per_bedroom,population_per_household,bedroom_per_household,room_per_household,median_income
0,0.2111553784860547,0.5674814027630184,0.7843137254901961,0.9022663824066706,2,6,2,1,6,1.0000000000000002
1,0.21215139442231035,0.5653560042507966,0.39215686274509803,0.7082465639316952,2,6,2,0,6,1.0000000000000002
2,0.21015936254980083,0.5642933049946866,0.9999999999999999,0.6950507420587957,2,7,2,1,8,0.8775860053765537
3,0.2091633466135452,0.5642933049946866,0.9999999999999999,0.6727827926482778,2,5,2,1,5,0.6679393774106831
4,0.2091633466135452,0.5642933049946866,0.9999999999999999,0.6746384550991543,2,5,2,1,6,0.4345787717042636
5,0.2091633466135452,0.5642933049946866,0.9999999999999999,0.5251545354452147,2,4,2,1,4,0.45933169699094833
6,0.2091633466135452,0.5632306057385765,0.9999999999999999,0.5859790268906108,2,5,2,0,4,0.4102803859690135
7,0.2091633466135452,0.5632306057385765,0.9999999999999999,0.46680426060098723,2,4,1,1,4,0.3402683082037896
8,0.20816733067728954,0.5632306057385765,0.8039215686274509,0.4364951072366712,2,3,2,1,4,0.20525707458344702
9,0.2091633466135452,0.5632306057385765,0.9999999999999999,0.507422649803506,2,5,2,0,4,0.41444916299788326
10,0.20816733067728954,0.5642933049946866,0.9999999999999999,0.5494843320233731,2,5,2,1,5,0.35106037583927485
11,0.20816733067728954,0.5642933049946866,0.9999999999999999,0.4676289994680434,2,4,2,1,4,0.3598135089154687
12,0.20816733067728954,0.5642933049946866,0.9999999999999999,0.409278724623816,2,5,2,1,5,0.334424228256776
13,0.20816733067728954,0.5632306057385765,0.9999999999999999,0.36350571750219585,2,3,1,1,4,0.282295035129414
14,0.20816733067728954,0.5642933049946866,0.9999999999999999,0.29732042342093434,2,4,1,1,4,0.18399761042064394
15,0.20816733067728954,0.5642933049946866,0.9607843137254901,0.2577329578022359,2,3,2,1,4,0.21104920715315392
16,0.20717131474103567,0.5642933049946866,0.9999999999999999,0.2835060473977427,2,5,2,1,5,0.2954636952766848
17,0.20717131474103567,0.5642933049946866,0.9999999999999999,0.2896915889006643,2,4,2,0,4,0.21042583862547246
18,0.20816733067728954,0.5632306057385765,0.9607843137254901,0.29628949983711406,2,4,2,1,5,0.19365982259970657
19,0.20717131474103567,0.5632306057385765,0.9999999999999999,0.30494925794120437,2,5,2,1,5,0.27316528356774594
20,0.20717131474103567,0.5642933049946866,0.7647058823529411,0.27319681155953995,2,4,2,1,4,0.11141413747873405
21,0.20717131474103567,0.5642933049946866,0.8039215686274509,0.29855753172151867,2,4,2,1,4,0.1576083427487955
22,0.20717131474103567,0.5632306057385765,0.9999999999999999,0.20391874672681762,2,4,2,1,5,0.15910182984636567
23,0.20717131474103567,0.5632306057385765,0.9999999999999999,0.17464051694632188,2,5,2,1,5,0.21826989259879745
24,0.20717131474103567,0.5632306057385765,0.9999999999999999,0.24247528876169583,2,5,2,1,5,0.272736717704965
25,0.20617529880478003,0.5642933049946866,0.7843137254901961,0.19072292485391812,2,4,2,1,4,0.2472565291359853
